what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290087946863
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290087961957
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1290087983566
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1290087983581
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290087985128
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290087986331
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290087987003
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290087990581
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1290088042565
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1290088042909
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1290088043237
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1290088043534
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1290088043784
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1290088044205
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1290088044612
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1290088045002
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1290088046315
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1290088046674
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1290088047127
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1290088047471
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290088062784
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290088079205
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290088080659
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290088093299
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ProblemView",1290088102518
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1290088102534
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1290088148409
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1290088158752
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1290088163846
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290088167393
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290088167549
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290088172159
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290088173205
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290088173909
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1290088180112
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1290088221159
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1290088231487
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1290088239846
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1290088243612
